,Municipio,Latitud,Longitud,Categoria,Nombre del Lugar,Distancia (m),adress
0,Alcala de henares,40.4818396,-3.3644973,10027,Museo Arqueológico Regional,418,"Plaza Bernardas, s/n"
1,Alcala de henares,40.4818396,-3.3644973,10027,Museo Casa Natal de Cervantes,223,"Calle Mayor, 48"
2,Alcala de henares,40.4818396,-3.3644973,10027,Centro de Interpretación los Universos de Cervantes,92,"Plaza de Cervantes, s/n"
3,Alcala de henares,40.4818396,-3.3644973,10027,Museo de Arte Iberoamericano de la UAH,230,"Plaza de San Diego, s/n"
4,Alcala de henares,40.4818396,-3.3644973,10027,Museo Cisneriano,668,"Paseo Estación, 10"
5,Alcala de henares,40.4818396,-3.3644973,10027,Museo Perfumería Gal,1271,"Avenida de Madrid, 28"
6,Alcala de henares,40.4818396,-3.3644973,10027,Convento de la Madre de Dios,387,
7,Alcala de henares,40.4818396,-3.3644973,10027,Palacio Arzobispal,664,"Plaza Puerta de Madrid, s/n"
8,Alcobendas,40.5400082,-3.6358494,10027,Centro de Arte Alcobendas,460,"Calle Mariano Sebastián Izuel, Nº 9"
9,Alcobendas,40.5400082,-3.6358494,10027,Museo Nacional de Ciencia y Tecnologia MUNCYT,508,"Calle Pintor Velazquez, 5"
10,Alcobendas,40.5400082,-3.6358494,10027,MUNCYT Alcobendas,427,"Pintor Velázquez, 5"
11,Alcobendas,40.5400082,-3.6358494,10027,Museo Etnográfico el Caserón,1205,"Plaza de la Constitución, s/n"
12,Alcorcon,40.3492998,-3.8284295,10027,MAVA - Museo de Arte en Vídrio de Alcorcón,1909,"Avenida de los Castillos, s/n"
13,Alcorcon,40.3492998,-3.8284295,10027,Museo de Aeronáutica y Astronáutica de España,2681,"Carretera de Extremadura, Km 10,5"
14,Alcorcon,40.3492998,-3.8284295,10027,Colección municipal de arte contemporáneo de Alcorcón,768,"Avenida Pablo Iglesias, s/n"
15,Alcorcon,40.3492998,-3.8284295,10027,Museo Municipal de Arte en Vidrio,1895,"Avenida los Castillos, 0"
16,Alpedrete,40.6599005,-4.0251223,10027,Museo de Astronomía y Geodesia,1214,"Plaza Ciencias, 3"
17,Alpedrete,40.6599005,-4.0251223,10027,Formacion y Reciclaje en Seguridad,2475,"Carretera Nacional N-601, Km 5"
18,Aranjuez,40.03221,-3.6039604,10027,Palacio Real de Aranjuez,587,"Plaza de Parejas, S/N"
19,Aranjuez,40.03221,-3.6039604,10027,Casa del Labrador,1753,"Calle de la Reina, S/N"
20,Aranjuez,40.03221,-3.6039604,10027,Museo de Faluas Reales,1192,"Jardín del Príncipe, 0"
21,Aranjuez,40.03221,-3.6039604,10027,Patrimonio Nacional,426,"Plaza de Parejas, 12"
22,Aranjuez,40.03221,-3.6039604,10027,Tren de la Fresa,1257,"Dde la Estación, 1"
23,Aranjuez,40.03221,-3.6039604,10027,Convento de San Pascual (Aranjuez),360,"Calle del Rey, 75"
24,Arganda del rey,40.3007708,-3.4380688,10027,Exmoarte,234,"Calle Granados, 1"
25,Buitrago del lozoya,40.9953477,-3.6350501,10027,Museo Picasso de Buitrago,239,"Plaza de Picasso, 1"
26,Cercedilla,40.7412931,-4.0558002,10027,Fabrica de la Luz,1461,"Carretera de las Dehesas, 2"
27,Cercedilla,40.7412931,-4.0558002,10027,Museo del Esquí,24,"Plaza Mayor, 3"
28,Chinchon,40.1408293,-3.4231474,10027,Museo Etnologico la Posada,60,"Calle Morata, 5"
29,Collado mediano,40.6943707,-4.0247212,10027,Formacion y Reciclaje en Seguridad,1764,"Carretera Nacional N-601, Km 5"
30,Colmenar de oreja,40.1074198,-3.3871634,10027,Museo Municipal Ulpiano Checa,243,"Calle María Teresa Freire, 2"
31,Colmenar viejo,40.6587726,-3.7659722,10027,Casa Museo de la Villa - Oficina de Turismo,258,"Plaza Maestro Almeida, 1"
32,Colmenar viejo,40.6587726,-3.7659722,10027,Ayuntamiento de Colmenar Viejo,258,"Plaza del Maestro Almeida, 1"
33,Coslada,40.423802,-3.5552882,10027,Sala de Exposiciones Juan Carlos I,1928,"Plaza Fernando VI, s/n"
34,El escorial,40.5890661,-4.147394873409854,10027,Monasterio de San Lorenzo de el Escorial,57,"Avenida Juan de Borbón y Battemberg, s/n"
35,El escorial,40.5890661,-4.147394873409854,10027,Cocheras del Rey,288,"Calle del Rey, 41"
36,Fresnedillas de la oliva,40.486444,-4.1723486,10027,Museo Lunar Fresnedillas de la Oliva,401,"Carretera de Colmenar del Arroyo, 9"
37,Gascones,41.0185654,-3.641499,10027,Museo Picasso de Buitrago,2827,"Plaza de Picasso, 1"
38,Humanes de madrid,40.2508847,-3.8270997,10027,Museo del Labrador,167,"Plaza de la Constitución, 4"
39,Madrid,40.4167047,-3.7035825,10027,Imprenta Municipal,356,"Calle Concepción Jerónima, 15"
40,Madrid,40.4167047,-3.7035825,10027,Museo Thyssen Bornemisza (Museo Thyssen-Bornemisza),731,"Paseo del Prado, 8"
41,Madrid,40.4167047,-3.7035825,10027,Casa-Museo de Lope de Vega,580,"Calle de Cervantes, 11"
42,Madrid,40.4167047,-3.7035825,10027,Royal Palace of Madrid (Palacio Real de Madrid),913,"Calle Bailén, S/N"
43,Madrid,40.4167047,-3.7035825,10027,Real Academia de Bellas Artes de San Fernando,281,Calle de Alcalá 13
44,Madrid,40.4167047,-3.7035825,10027,Museo Nacional del Prado,1010,"Calle Ruiz de Alarcón, 23"
45,Madrid,40.4167047,-3.7035825,10027,Espacio Fundación Telefónica,426,"Calle Fuencarral, 3"
46,Madrid,40.4167047,-3.7035825,10027,Fundacion Mapfre,1174,"Paseo de Recoletos, 23"
47,Madrid,40.4167047,-3.7035825,10027,CaixaForum Madrid,1061,"Paseo del Prado, 36"
48,Madrid,40.4167047,-3.7035825,10027,Museo Naval,921,"Paseo del Prado, 5"
49,Madrid,40.4167047,-3.7035825,10027,Museo Nacional Centro de Arte Reina Sofía (Museo Nacional Centro de Arte Reina Sofía (MNCARS)),1219,"Calle de Santa Isabel, 52"
50,Madrid,40.4167047,-3.7035825,10027,Guernica by Pablo Picasso,1235,
51,Madrid,40.4167047,-3.7035825,10027,Museo Arqueológico Nacional,1425,"Calle de Serrano, 13"
52,Madrid,40.4167047,-3.7035825,10027,Templo de Debod,1451,"Calle Ferraz, 1"
53,Madrid,40.4167047,-3.7035825,10027,Museo Nacional del Romanticismo (Madrid),1101,"Calle San Mateo, 13"
54,Madrid,40.4167047,-3.7035825,10027,Palace of Communication (Palacio de Cibeles),996,"Plaza de Cibeles, 1"
55,Madrid,40.4167047,-3.7035825,10027,Monasterio de las Descalzas Reales,276,"Plaza Descalzas Reales, S/N"
56,Madrid,40.4167047,-3.7035825,10027,Museo Cerralbo,1238,"Calle de Ventura Rodríguez, 17"
57,Madrid,40.4167047,-3.7035825,10027,Real Armería de Madrid,985,"Calle Bailén, 6"
58,Madrid,40.4167047,-3.7035825,10027,Museo de Historia de Madrid,1046,"Calle Fuencarral, 78"
59,Madrid,40.4167047,-3.7035825,10027,Palacio de Velázquez,1838,"P. Duque de Fernán Núñez, s/n"
60,Madrid,40.4167047,-3.7035825,10027,Museo Sorolla,2281,"Paseo del General Martínez Campos, 37"
61,Madrid,40.4167047,-3.7035825,10027,Casón del Buen Retiro,1222,"Calle Alfonso XII, 28"
62,Madrid,40.4167047,-3.7035825,10027,Instituto Juan March de Estudios e Investigaciones,2481,"Calle Castello, 77"
63,Madrid,40.4167047,-3.7035825,10027,La Neomudejar,2136,"Calle Antonio Nebrija, s/n"
64,Madrid,40.4167047,-3.7035825,10027,Museo del Ferrocarril,2252,"Paseo de las Delicias, 61"
65,Madrid,40.4167047,-3.7035825,10027,Museo de Escultura al Aire Libre,2351,"Paseo de la Castellana, 41"
66,Madrid,40.4167047,-3.7035825,10027,Museo ABC,1311,"Calle de Amaniel, 29"
67,Madrid,40.4167047,-3.7035825,10027,Fundación Lázaro Galdiano,2701,"Calle de Serrano, 122"
68,Madrid,40.4167047,-3.7035825,10027,Museo de los Orígenes,800,"Plaza de San Andrés, 2"
69,Madrid,40.4167047,-3.7035825,10027,Museo Geominero,2868,"Calle Ríos Rosas, 23"
70,Madrid,40.4167047,-3.7035825,10027,Museo Casa de la Moneda,2983,"Calle Doctor Esquerdo, 36"
71,Madrid,40.4167047,-3.7035825,10027,Nave de Motores,2843,"Calle Valderribas, 49"
72,Madrid,40.4167047,-3.7035825,10027,National Museum of Natural Sciences (Museo Nacional de Ciencias Naturales),2951,"Calle José Gutiérrez Abascal, 2"
73,Madrid,40.4167047,-3.7035825,10027,Casita Museo de Ratón Pérez,171,"Calle Arenal, 8"
74,Madrid,40.4167047,-3.7035825,10027,Fundación Canal. Canal de Isabel II,5629,"Mateo Inurria, 2"
75,Madrid,40.4167047,-3.7035825,10027,Museo de América,2842,"Avenida de los Reyes Católicos, 6"
76,Madrid,40.4167047,-3.7035825,10027,Museo Nacional de Antropología,1598,"Calle Alfonso XII, 68"
77,Madrid,40.4167047,-3.7035825,10027,Museo de la Catedral de la Almudena,873,"Plaza de la Almudena, s/n"
78,Madrid,40.4167047,-3.7035825,10027,Museo del Tarot,178,"Calle San Alberto, 1"
79,Madrid,40.4167047,-3.7035825,10027,Gabinete de Historia Natural,195,"Calle Victoria, 9"
80,Madrid,40.4167047,-3.7035825,10027,Calcografía Nacional,269,"Calle de Alcalá, 13"
81,Madrid,40.4167047,-3.7035825,10027,Velázquez Tech Museum,271,"Calle Atocha, 14"
82,Madrid,40.4167047,-3.7035825,10027,Museum of Illusions Madrid,373,"Calle Doctor Cortezo, 8"
83,Madrid,40.4167047,-3.7035825,10027,Panteón de Hombres Ilustres,2034,"Calle Julián Gayarre, 3"
84,Madrid,40.4167047,-3.7035825,10027,Casa de Canarias,594,"Jovellanos, 5"
85,Madrid,40.4167047,-3.7035825,10027,ExpoVida,690,"Calle de Zorrilla, 23"
86,Madrid,40.4167047,-3.7035825,10027,Real Monasterio de la Encarnación,748,"Plaza de la Encarnación, 1"
87,Madrid,40.4167047,-3.7035825,10027,Palacio de los Duques de Villahermosa,790,"P. del Prado, 8"
88,Madrid,40.4167047,-3.7035825,10027,Real Academia Nacional de Farmacia,869,"Calle Farmacia, 11"
89,Manzanares el real,40.7267632,-3.864981,10027,Castillo nuevo de Manzanares el Real,233,"Calle del Castillo, s/n"
90,Moraleja de enmedio,40.2615532,-3.8612117,10027,Museo del Labrador,2984,"Plaza de la Constitución, 4"
91,Morata de tajuna,40.2294297,-3.4366925,10027,Museo Batalla del Jarama,406,"Calle del Carmen, 36"
92,Mostoles,40.3238525,-3.8649214,10027,Centro de Arte Dos de Mayo,163,"Avenida Constitución, 23"
93,Mostoles,40.3238525,-3.8649214,10027,Armería Florida,376,"Calle Malvarrosa, 5"
94,Mostoles,40.3238525,-3.8649214,10027,Museo de la Ciudad de Móstoles,192,"Calle Andrés Torrejón, Nº 5"
95,Navalcarnero,40.2877169,-4.014299,10027,Museo del Vino,149,"Plaza de Alonso de Arreo, s/n"
96,Navalcarnero,40.2877169,-4.014299,10027,Centro de Interpretación de Navalcarnero,227,"Calle de San José, 6"
97,Navalcarnero,40.2877169,-4.014299,10027,El Silo,1800,"Cardeñas, s/n"
98,Navalcarnero,40.2877169,-4.014299,10027,Oficina de Turismo de Navalcarnero,24,"Plaza de Segovia, 1"
99,Navalcarnero,40.2877169,-4.014299,10027,La Casa de la Lonja,139,"Plazuela del Mercado, 18"
100,Nuevo baztan,40.3659255,-3.2443102,10027,Centro de Interpretación de Nuevo Baztán,70,"Plaza de la Iglesia, s/n"
101,Olmeda de las fuentes,40.3695225,-3.2213199,10027,Centro de Interpretación de Nuevo Baztán,1920,"Plaza de la Iglesia, s/n"
102,Pinto,40.240985,-3.7005072,10027,Museo de la Pesca,443,"Autovia Andalucía N-iv, 18 Bajo"
103,Pinto,40.240985,-3.7005072,10027,Arqueopinto Parque Arqueologico Municipal Gonzalo Arteaga,628,"Calle Pablo Picasso, s/n"
104,San fernando de henares,40.4248548,-3.5350369,10027,Sala de Exposiciones Juan Carlos I,216,"Plaza Fernando VI, s/n"
105,San lorenzo de el escorial,40.5926673,-4.1471642,10027,Monasterio de San Lorenzo de el Escorial,402,"Avenida Juan de Borbón y Battemberg, s/n"
106,San lorenzo de el escorial,40.5926673,-4.1471642,10027,Cocheras del Rey,241,"Calle del Rey, 41"
107,San sebastian de los reyes,40.5473698,-3.6260586,10027,Centro de Arte Alcobendas,805,"Calle Mariano Sebastián Izuel, Nº 9"
108,San sebastian de los reyes,40.5473698,-3.6260586,10027,Museo Nacional de Ciencia y Tecnologia MUNCYT,1655,"Calle Pintor Velazquez, 5"
109,San sebastian de los reyes,40.5473698,-3.6260586,10027,Museo Etnográfico el Caserón,42,"Plaza de la Constitución, s/n"
110,San sebastian de los reyes,40.5473698,-3.6260586,10027,MUNCYT Alcobendas,1575,"Pintor Velázquez, 5"
111,Torres de la alameda,40.4021516,-3.360625,10027,Proescen,1217,"Calle Bonn, 66"
112,Tres cantos,40.6065826,-3.7065333,10027,Museo de Metrología / Museo de Pesas y Medidas,1473,"Calle del Alfar, 2"
113,Villarejo de salvanes,40.1683582,-3.2738764,10027,Museo del Cine,274,"Calle Mayor, 49"
114,Ajalvir,40.5342302,-3.4807818,12080,Ayuntamiento de Ajalvir,307,"Fuente, 28"
115,Ajalvir,40.5342302,-3.4807818,12080,Biblioteca Municipal Isabel Allende,2297,"Camino Fresno, 22"
116,Ajalvir,40.5342302,-3.4807818,12080,Biblioteca Municipal de Ajalvir,286,"Avenida Juan Carlos I, 0"
117,Ajalvir,40.5342302,-3.4807818,12080,Custodia y Archivo Documental,896,"Calle Andalucía, 2"
118,Ajalvir,40.5342302,-3.4807818,12080,Ad Astra Global Facilities,1928,"Camino Ancho, s/n"
119,El alamo,40.2307296,-3.9905893,12080,Biblioteca Pública Municipal el Alamo,231,"Calle Escuelas, 13"
120,El alamo,40.2307296,-3.9905893,12080,Biblioteca Municipal Biblioteca Municipal,231,"Calle de las Escuelas, 13"
121,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal Cardenal Cisneros,243,"Plaza San Julián, 1"
122,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal Pío Baroja,1101,"Calle Torrelaguna, 33"
123,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal Eulalio Ferrer,1140,"Plaza de Sepúlveda, 12"
124,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal María Moliner,1144,"Calle San Vidal, 33"
125,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Cervantina - Donacion British Council,189,"Calle Trinidad, 3"
126,Alcala de henares,40.4818396,-3.3644973,12080,Ministerio de Agricultura Pesca y Alimentación,901,"Calle Torrelaguna, 0"
127,Alcala de henares,40.4818396,-3.3644973,12080,Excmo. Ayuntamiento de Alcala de Henares,1192,"Calle de San Vidal, 33"
128,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal Rosa Chacel,1203,"Calle de Juan de la Cueva, 2"
129,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Municipal María Zambrano,1437,"Calle Pedro de Lerma, 12"
130,Alcala de henares,40.4818396,-3.3644973,12080,Biblioteca Nacional Jefe Unidad,2741,"Carretera Meco, 0"
131,Alcobendas,40.5400082,-3.6358494,12080,Espacio Miguel Delibes,2214,"Avenida de la Magia, Nº 4"
132,Alcobendas,40.5400082,-3.6358494,12080,Fundación Pedro Ferrándiz,439,"Avenida Olímpica, 22"
133,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca,1002,"Pasaje de la Viña, 3"
134,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca Municipal Plaza de la Iglesia,1081,"Plaza de la Iglesia, 4"
135,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca,1267,"Avenida Maximiliano Puerro del Tell, s/n"
136,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca Municipal Central,1459,"Baunatal, 1"
137,Alcobendas,40.5400082,-3.6358494,12080,Normadat,2572,"Avenida Tenerife, 18"
138,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca del Centro de Acogida a Refugiados Biblioteca del Centro de Acogida a Refugiados,733,"Calle de Sariñena, 7"
139,Alcobendas,40.5400082,-3.6358494,12080,Dip Systems,1232,"Valdepalitos, 5"
140,Alcobendas,40.5400082,-3.6358494,12080,Biblioteca Municipal Claudio Rodríguez,1273,"Avenida Maximiliano Puerro del Tell, s/n"
141,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca Publica Municipal Jose Hierro,774,"Avenida Pablo Iglesias, s/n"
142,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca de la Universidad Rey Juan Carlos Biblioteca de la Universidad Rey Juan Carlos Biblioteca de la Facultad de Ciencias de la Salud. Campus de Alcorcón,1087,"Avenida de Atenas, s/n"
143,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca Municipal el Parque,1230,"Avenida Leganés, 31"
144,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca publica municipal el pinar,1892,"Ministro Fernández Ordóñez, s/n"
145,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca Joaquín Vilumbrales,2337,"Avenida los Castillos, 15"
146,Alcorcon,40.3492998,-3.8284295,12080,Biblioteca Municipal Centro,93,"Calle la Iglesia, 7"
147,Aldea del fresno,40.3215212,-4.19936,12080,Biblioteca Municipal,423,"Calle Vistillas, 0"
148,Alpedrete,40.6599005,-4.0251223,12080,Biblioteca Municipal,318,"Plaza Francisco Rabal, 0"
149,Aranjuez,40.03221,-3.6039604,12080,Biblioteca Pública Municipal Álvarez de Quindós,193,"Calle del Capitán Angosto Gómez Castrillón, 39"
150,Arganda del rey,40.3007708,-3.4380688,12080,Biblioteca Municipal Pablo Neruda,32,"Calle Tiendas, 8"
151,Arganda del rey,40.3007708,-3.4380688,12080,Biblioteca,67,"Calle del Pilar, 18"
152,Arganda del rey,40.3007708,-3.4380688,12080,Biblioteca Obra Social Caja Madrid,74,"Calle del Pilar, 18"
153,Arroyomolinos,39.1855991,-6.1630632,12080,Ayuntamiento de Arroyomolinos de Montanez,14,"Plaza Constitucion, 1"
154,Becerril de la sierra,40.7163374,-3.9890681,12080,Biblioteca de Navacerrada,2633,"Paseo de los Españoles, 11"
155,Becerril de la sierra,40.7163374,-3.9890681,12080,Biblioteca Municipal de Becerril de la Sierra Biblioteca Municipal de Becerril de la Sierra,113,"Calle Real, 4"
156,Boadilla del monte,40.4053485,-3.8764663,12080,Sala de Lectura la Millonaria,138,"El Convento, 10"
157,Boadilla del monte,40.4053485,-3.8764663,12080,Biblioteca Municipal de Boadilla del Monte,148,"Calle Mártires, 1"
158,Boadilla del monte,40.4053485,-3.8764663,12080,Biblioteca Publica Municipal,148,"Calle de los Mártires, 1"
159,Brunete,40.4050499,-3.9979912,12080,Biblioteca Publica Municipal Dulce Chacon,182,"Calle Arcos, s/n"
160,Buitrago del lozoya,40.9953477,-3.6350501,12080,Biblioteca Municipal Eugenio Arias,264,"Calle de la Tahona, 19"
161,Bustarviejo,40.8587766,-3.7097632,12080,Biblioteca Municipal de Bustarviejo,108,"Plaza de Segovia, 1"
162,Cadalso de los vidrios,40.3014283,-4.4408876,12080,Biblioteca Municipal,192,"Avenida Francisco Caballero, 1"
163,Cadalso de los vidrios,40.3014283,-4.4408876,12080,Ayuntamiento de Cadalso de los Vidrios,192,"Avenida Francisco Caballero, 1"
164,Campo real,40.3381881,-3.3813911,12080,Biblioteca Pública Municipal,60,"Calle Escuelas, 2"
165,Campo real,40.3381881,-3.3813911,12080,Biblioteca Municipal de Campo Real Biblioteca Municipal de Campo Real,72,"Carretera Villar del Olmo, 4"
166,Casarrubuelos,40.1707803,-3.8308526,12080,Biblioteca Municipal,2353,"Calle Sagrado Corazón de Jesús, 7"
167,Cercedilla,40.7412931,-4.0558002,12080,Biblioteca de Cercedilla,286,"Calle de los Registros, 71"
168,Chapineria,40.379164,-4.2097254,12080,Biblioteca Municipal,205,"Calle de Prudencio Melo, 21"
169,Chapineria,40.379164,-4.2097254,12080,Palacio de la Sagra,186,"Calle de Prudencio Melo, s/n"
170,Chinchon,40.1408293,-3.4231474,12080,Biblioteca Municipal,124,"Avenida Generalísimo, 24"
171,Cobena,40.5676083,-3.5048565,12080,Biblioteca de Cobeña,517,"Calle Jarama, 1"
172,Collado mediano,40.6943707,-4.0247212,12080,Biblioteca de Collado Mediano,129,"Plaza Mayor, 6"
173,Collado villalba,40.6431496,-3.9930128,12080,Biblioteca Municipal Sancho Panza,154,"Calle Espinarejo, 2"
174,Collado villalba,40.6431496,-3.9930128,12080,Biblioteca Miguel Hernandez,1771,"Calle Batalla de Bailen, 24"
175,Collado villalba,40.6431496,-3.9930128,12080,Biblioteca Obra Social Caja Madrid,1416,"Calle Santa Rosa, 1"
176,Collado villalba,40.6431496,-3.9930128,12080,Biblioteca,1542,"Calle Real, 63"
177,Colmenar del arroyo,40.4179997,-4.1972768,12080,Biblioteca Municipal,77,"Plaza España, 9"
178,Colmenar del arroyo,40.4179997,-4.1972768,12080,Biblioteca Publica Municipal de Colmenar del Arroyo,115,"Avenida Constitución, s/n"
179,Colmenar de oreja,40.1074198,-3.3871634,12080,Biblioteca Municipal Padre Rojas,46,"Plaza Mayor, 25"
180,Colmenar viejo,40.6587726,-3.7659722,12080,Biblioteca Publica Municipal Miguel de Cervantes,1013,"Corazón de María, s/n"
181,Colmenar viejo,40.6587726,-3.7659722,12080,Biblioteca Municipal Pablo Picasso,100,"Calle de la Iglesia, 12"
182,Colmenar viejo,40.6587726,-3.7659722,12080,Biblioteca Municipal Mario Vargas Llosa,195,"Plaza Eulogio Carrasco, 1"
183,Colmenar viejo,40.6587726,-3.7659722,12080,Papyrum Nexus,2446,"Calle Platino, 64"
184,Coslada,40.423802,-3.5552882,12080,Biblioteca Municipal Margarita Nelken,671,"Avenida Principes de España, s/n"
185,Coslada,40.423802,-3.5552882,12080,Biblioteca Publica Municipal la Jaramilla,895,"Avenida de la Constitucion, 47"
186,Coslada,40.423802,-3.5552882,12080,Biblioteca,1163,"Calle de la Virgen del Mar, 1"
187,Coslada,40.423802,-3.5552882,12080,Biblioteca Obra Social Caja Madrid,1198,"Calle de la Iglesia, 13"
188,Coslada,40.423802,-3.5552882,12080,Biblioteca Publica Municipal Rafael Alberti,1841,"Calle de la Libertad, 1"
189,Coslada,40.423802,-3.5552882,12080,Mda Archivos,2285,"Calle Ingeniero Torres Quevedo, 16"
190,Coslada,40.423802,-3.5552882,12080,Record Storage,1403,"Calle Tierra de Barros, 4"
191,Coslada,40.423802,-3.5552882,12080,Frans Maas Spain,2114,"Passeig Catalunya, s/n"
192,Coslada,40.423802,-3.5552882,12080,Biblioteca Pública José Luis San Pedro,2257,"Avenida de San Pablo, 0"
193,Coslada,40.423802,-3.5552882,12080,Biblioteca Municipal Biblioteca Municipal Jose Luis Sampedro,2855,"Avenida San Pablo, s/n"
194,Coslada,40.423802,-3.5552882,12080,Biblioteca Municipal Mario Benedetti,2979,"Avenida Somorrostro, 193 Bajo"
195,Cubas de la sagra,40.1908352,-3.8378366,12080,Biblioteca Municipal,95,"Calle Sagrado Corazón de Jesús, 7"
196,Cubas de la sagra,40.1908352,-3.8378366,12080,Biblioteca Municipal,2945,"Plaza Fuente de la Salud, 33"
197,Daganzo de arriba,40.5451953,-3.45785,12080,Biblioteca Municipal Isabel Allende,191,"Camino Fresno, 22"
198,Daganzo de arriba,40.5451953,-3.45785,12080,Ayuntamiento de Ajalvir,2330,"Fuente, 28"
199,Daganzo de arriba,40.5451953,-3.45785,12080,Ad Astra Global Facilities,592,"Camino Ancho, s/n"
200,Daganzo de arriba,40.5451953,-3.45785,12080,Biblioteca Municipal de Ajalvir,2294,"Avenida Juan Carlos I, 0"
201,El escorial,40.5890661,-4.147394873409854,12080,Biblioteca Publica Municipal Manuel Andujar,178,"Calle Floridablanca, 3"
202,El escorial,40.5890661,-4.147394873409854,12080,Biblioteca Publica Municipal Pedro Antonio de Alarcon,1330,"Calle Vista Bella, 5"
203,El escorial,40.5890661,-4.147394873409854,12080,Biblioteca Pública Municipal del Escorial,1599,"Plaza de España, 7"
204,El escorial,40.5890661,-4.147394873409854,12080,Ayuntamiento de el Escorial,1574,"Plaza de España, 1"
205,Fuenlabrada,40.282476,-3.7923422,12080,Biblioteca Antonio Machado,1148,"Calle de Sevilla, 9"
206,Fuenlabrada,40.282476,-3.7923422,12080,Biblioteca Municipal Fernando de los Ríos,1246,"Calle de Andorra, 3"
207,Fuenlabrada,40.282476,-3.7923422,12080,Biblioteca,2338,"Camino del Molino, s/n"
208,Fuenlabrada,40.282476,-3.7923422,12080,Biblioteca Pública Municipal el Arroyo,920,"Calle Ilustración, s/n"
209,Fuente el saz de jarama,40.6312151,-3.5125918,12080,Biblioteca Municipal el Pilar,291,"Avenida del Pilar, 3"
210,Fuente el saz de jarama,40.6312151,-3.5125918,12080,Online Review,180,"Calle San Roque, 12"
211,Fuentiduena de tajo,40.1185446,-3.160254,12080,Biblioteca Municipal de Fuentidueña de Tajo,137,"Calle de Don Silvino Real, 9"
212,Gascones,41.0185654,-3.641499,12080,Biblioteca Municipal Eugenio Arias,2853,"Calle de la Tahona, 19"
213,Getafe,40.3070639,-3.7331808,12080,Biblioteca Pública Municipal Ricardo de la Vega,475,"Calle Calvario, 3"
214,Getafe,40.3070639,-3.7331808,12080,Biblioteca Municipal Jorge Luis Borges,1558,"Avenida de las Arcas del Agua, 0"
215,Getafe,40.3070639,-3.7331808,12080,Biblioteca Getafe Ii,695,"Avenida de las Fuerzas Armadas, 0"
216,Getafe,40.3070639,-3.7331808,12080,Gecesa Gestion de Centros Culturales,748,"Avenida de las Fuerzas Armadas, s/n"
217,Getafe,40.3070639,-3.7331808,12080,Biblioteca Municipal Carmen Martín Gaite,1944,"Avenida Buenos Aires, 2"
218,Getafe,40.3070639,-3.7331808,12080,Archivo General de Getafe,2698,"Calle Carpinteros, 14"
219,Getafe,40.3070639,-3.7331808,12080,Destilerias Tres-15,2773,"Calle Edison, 14"
220,Grinon,40.2136607,-3.8581479,12080,Biblioteca Municipal,448,"Plaza Fuente de la Salud, 33"
221,Grinon,40.2136607,-3.8581479,12080,Biblioteca Municipal,2996,"Calle Sagrado Corazón de Jesús, 7"
222,Guadarrama,40.6734454,-4.0893911,12080,Biblioteca de Guadarrama,298,"Calle de las Herrenes, s/n"
223,Hoyo de manzanares,40.6227334,-3.9072054,12080,Biblioteca de Hoyo de Manzanares,3,"Plaza de Cervantes, s/n"
224,Hoyo de manzanares,40.6227334,-3.9072054,12080,Gecesa Gestion de Centros Culturales,55,"Gta Facundo Baelo de, s/n"
225,Humanes de madrid,40.2508847,-3.8270997,12080,Biblioteca Lorenzo Silva,83,"Calle del Libro, 3"
226,Humanes de madrid,40.2508847,-3.8270997,12080,Biblioteca Municipal,96,"Calle Libro, 2"
227,Loeches,40.3837901,-3.4092281,12080,Biblioteca Municipal de Loeches,32,"Avenida de la Constitución, 2"
228,Madrid,40.4167047,-3.7035825,12080,Biblioteca Museo Reina Sofía - Edificio Nouvel,1274,
229,Madrid,40.4167047,-3.7035825,12080,Biblioteca Pública Víctor Espinós,1393,"Calle Conde Duque, 9"
230,Madrid,40.4167047,-3.7035825,12080,Biblioteca Pública Municipal Eugenio Trías,2093,
231,Madrid,40.4167047,-3.7035825,12080,Biblioteca Escuelas Pías,957,"Calle Sombrerete, 15"
232,Madrid,40.4167047,-3.7035825,12080,Biblioteca Pública Ana María Matute,2525,"Calle de los Comuneros de Castilla, 30"
233,Madrid,40.4167047,-3.7035825,12080,Biblioteca Iván de Vargas,606,"San Justo, s/n"
234,Madrid,40.4167047,-3.7035825,12080,Biblioteca Conde Duque,1393,"Calle Conde Duque, 9-11"
